Year,Reporter,Reporter Code,Partner,Partner Code,Commodity Code,Export,Import,World Exports,World Imports,Reporter_std,Partner_std,RTA_Name,Date of Entry into Force (G),Original signatories,Coverage,RTA Composition,Signatory1,Signatory2,Signatory1_std,Signatory2_std,Agreement Year,Total Partner Trade,Total World Trade,Agreement_Index,key,country,date,GDP,country_std,key_un
2000.0,Chile,152.0,Peru,604.0,TOTAL,439346698.0,255373860.0,18214503759.0,16619725987.0,Chile,Peru,Peru - Chile,2009-03-01,Chile; Peru,Goods & Services,Bilateral,Chile,Peru,Chile,Peru,2009.0,694720558.0,34834229746.0,-9.0,Chile-Peru,Chile,2000,78249883995.6255,Chile,Chile-Peru
2000.0,Chile,152.0,Rep. of Korea,410.0,TOTAL,809078437.0,534571272.0,18214503759.0,16619725987.0,Chile,South Korea,"Korea, Republic of - Chile",2004-04-01,"Chile; Korea, Republic of",Goods & Services,Bilateral,Chile,"Korea, Republic of",Chile,South Korea,2004.0,1343649709.0,34834229746.0,-4.0,Chile-South Korea,Chile,2000,78249883995.6255,Chile,Chile-Rep. of Korea
2000.0,Chile,152.0,Thailand,764.0,TOTAL,38169985.0,84684375.0,18214503759.0,16619725987.0,Chile,Thailand,Chile - Thailand,2015-11-05,Chile; Thailand,Goods & Services,Bilateral,Chile,Thailand,Chile,Thailand,2015.0,122854360.0,34834229746.0,-15.0,Chile-Thailand,Chile,2000,78249883995.6255,Chile,Chile-Thailand
2000.0,Chile,152.0,Turkey,792.0,TOTAL,76488443.0,19653877.0,18214503759.0,16619725987.0,Chile,Türkiye,Türkiye - Chile,2011-03-01,Chile; Türkiye,Goods,Bilateral,Chile,Türkiye,Chile,Türkiye,2011.0,96142320.0,34834229746.0,-11.0,Chile-Türkiye,Chile,2000,78249883995.6255,Chile,Chile-Turkey
2000.0,Chile,152.0,USA,842.0,TOTAL,3007750125.0,3273164884.0,18214503759.0,16619725987.0,Chile,United States,United States - Chile,2004-01-01,Chile; United States of America,Goods & Services,Bilateral,Chile,United States of America,Chile,United States,2004.0,6280915009.0,34834229746.0,-4.0,Chile-United States,Chile,2000,78249883995.6255,Chile,Chile-USA
2000.0,Chile,152.0,Viet Nam,704.0,TOTAL,6364173.0,12278442.0,18214503759.0,16619725987.0,Chile,Vietnam,Chile - Viet Nam,2014-01-01,Chile; Viet Nam,Goods,Bilateral,Chile,Viet Nam,Chile,Vietnam,2014.0,18642615.0,34834229746.0,-14.0,Chile-Vietnam,Chile,2000,78249883995.6255,Chile,Chile-Viet Nam
2000.0,China,156.0,Australia,36.0,TOTAL,3428876665.0,5024006965.0,249203000000.0,225094000000.0,China,Australia,Australia - China,2015-12-20,Australia; China,Goods & Services,Bilateral,China,Australia,China,Australia,2015.0,8452883630.0,474297000000.0,-15.0,China-Australia,China,2000,1211346869605.24,China,China-Australia
2000.0,China,156.0,Chile,152.0,TOTAL,783525335.0,1338506791.0,249203000000.0,225094000000.0,China,Chile,Chile - China,2006-10-01,Chile; China,Goods & Services,Bilateral,China,Chile,China,Chile,2006.0,2122032126.0,474297000000.0,-6.0,China-Chile,China,2000,1211346869605.24,China,China-Chile
2000.0,China,156.0,"China, Hong Kong SAR",344.0,TOTAL,44518284839.0,9429011832.0,249203000000.0,225094000000.0,China,Hong Kong,"China - Hong Kong, China",2003-06-29,"China; Hong Kong, China",Goods & Services,Bilateral,China,"Hong Kong, China",China,Hong Kong,2003.0,53947296671.0,474297000000.0,-3.0,China-Hong Kong,China,2000,1211346869605.24,China,"China-China, Hong Kong SAR"
2000.0,China,156.0,"China, Macao SAR",446.0,TOTAL,709860366.0,94990025.0,249203000000.0,225094000000.0,China,Macau,"China - Macao, China",2003-10-17,"China; Macao, China",Goods & Services,Bilateral,China,"Macao, China",China,Macau,2003.0,804850391.0,474297000000.0,-3.0,China-Macau,China,2000,1211346869605.24,China,"China-China, Macao SAR"
